City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,bhadarwah,32.9833,75.7167,27.36,44,1,1.96,Bhadarwāh,1693374408
242,nabire,-3.3667,135.4833,29.13,74,56,1.4,Nabire,1693373994
243,sivas,39.7916,37.0019,16.35,77,0,1.03,Sivas Province,1693374409
244,majie,25.0333,102.6361,15.99,88,100,4.0,Majie,1693374409
245,obudu,6.6674,9.1716,22.32,95,100,1.16,Obudu,1693374409
246,nasirabad,26.3,74.7333,31.22,51,0,3.87,Nasīrābād,1693374410
247,kodiak,57.79,-152.4072,11.73,76,0,3.6,Saint Paul Harbor,1693373987
248,laojunmiao,39.8333,97.7333,24.05,21,100,5.6,Laojunmiao,1693374144
249,west island,-12.1568,96.8225,26.99,74,75,5.14,West Island,1693374012
250,cabo san lucas,22.8909,-109.9124,29.73,83,31,1.87,Cabo San Lucas,1693374036
251,pisco,-13.7,-76.2167,16.68,82,5,1.03,Pisco,1693374138
252,port hedland,-20.3167,118.5667,35.03,8,10,7.72,Port Hedland,1693374411
253,floro,61.5996,5.0328,12.2,100,0,1.03,Florø,1693374411
254,chifeng,42.2683,118.9636,23.4,38,48,1.15,Chifeng,1693374286
255,papao,-17.75,-149.55,25.82,86,72,6.55,Papao,1693373982
256,qaqortoq,60.7167,-46.0333,6.87,95,70,1.74,Qaqortoq,1693374038
257,jiazi,22.8779,116.067,31.87,64,72,2.87,Jiazi,1693374346
258,manokwari,-0.8667,134.0833,27.8,77,90,0.67,Manokwari,1693374412
259,hithadhoo,-0.6,73.0833,28.03,70,83,5.1,Hithadhoo,1693374104
260,ugoofaaru,5.6667,73.0,28.67,68,100,6.01,Ugoofaaru,1693374408
261,bargaal,11.2864,51.0773,33.39,40,29,8.62,Bargaal,1693374412
262,mogocha,53.7333,119.7667,21.68,42,28,2.82,Mogocha,1693373996
263,preobrazheniye,42.9019,133.9064,19.76,98,100,2.74,Preobrazheniye,1693374153
264,mugia,43.1041,-9.2179,15.51,81,77,5.09,Mugia,1693374413
265,arkhangel'sk,64.5401,40.5433,15.5,74,21,2.6,Arkhangelsk,1693374413
266,jabor,5.921,169.6434,28.44,79,94,5.88,Jabor,1693374414
267,fukuecho,32.6881,128.8419,29.2,79,75,4.63,Fukuechō,1693374414
268,istgah-e rah ahan-e garmsar,35.2346,52.3094,34.86,14,1,5.83,Īstgāh-e Rāh Āhan-e Garmsār,1693374400
269,scaer,48.0333,-3.7,11.32,94,47,1.87,Scaër,1693374414
270,hasaki,35.7333,140.8333,36.28,79,84,7.29,Hasaki,1693373988
271,ancud,-41.8697,-73.8203,7.48,74,13,7.96,Ancud,1693374043
272,mont-tremblant,46.1949,-74.6264,16.32,94,31,0.0,Mont-Tremblant,1693374415
273,warrnambool,-38.3833,142.4833,11.85,69,84,7.24,Warrnambool,1693374263
274,midvagur,62.0511,-7.1939,8.46,87,40,6.17,Miðvágur,1693374046
275,east ballina,-28.8667,153.5833,18.41,79,16,4.23,East Ballina,1693374416
276,kidal,18.4411,1.4078,31.13,38,93,3.88,Kidal,1693374416
277,ayvalik,39.3191,26.6954,26.82,49,0,1.76,Aivali,1693374142
278,kolonia,50.9333,6.95,14.98,86,0,2.06,Cologne,1693374417
279,nar'yan-mar,67.6713,53.087,10.11,72,100,4.4,Naryan-Mar,1693374012
280,dayr hafir,36.1569,37.7078,27.62,57,1,6.09,Dayr Ḩāfir,1693374417
281,yushu,44.8,126.5333,16.69,92,96,5.62,Yushu,1693374370
282,novoanninskiy,50.5287,42.6747,16.42,63,34,2.12,Novoanninskiy,1693374417
283,evergreen,39.6333,-105.3172,17.18,69,0,0.89,Evergreen,1693374418
284,lebanon,36.2081,-86.2911,21.74,90,0,0.0,Lebanon,1693374417
285,kapoeta,4.7717,33.5903,28.31,41,93,9.54,Kapoeta,1693374418
286,praia da vitoria,38.7333,-27.0667,21.53,94,20,2.53,Praia da Vitória,1693374419
287,madang,-5.2246,145.7966,26.61,84,88,4.42,Madang,1693374419
288,zhangye,38.9342,100.4517,31.11,15,52,7.25,Zhangye,1693374196
289,lerwick,60.1545,-1.1494,10.0,85,14,3.06,Lerwick,1693373991
290,pandan,14.0453,124.1694,31.06,67,85,8.3,Pandan,1693374419
291,archangelos,36.2149,28.1149,26.28,58,0,4.28,Archangelos,1693374420
292,arraial do cabo,-22.9661,-42.0278,20.66,91,100,6.98,Arraial do Cabo,1693374097
293,bandipura,34.4167,74.65,28.18,29,0,2.27,Bandipura,1693374421
294,undurkhaan,47.3194,110.6556,23.37,34,46,3.18,Undurkhaan,1693374421
295,st. john's,47.5649,-52.7093,15.66,93,40,5.66,St. John's,1693373964
296,abepura,-2.6333,140.5833,33.45,52,20,4.63,Abepura,1693373995
297,miguel ahumada,30.6167,-106.5167,26.38,37,27,5.2,Miguel Ahumada,1693374422
298,maunabo,18.0072,-65.8993,28.32,95,81,3.72,Maunabo,1693374422
299,strezhevoy,60.7333,77.5889,19.59,52,96,4.24,Strezhevoy,1693374146
300,acapulco de juarez,16.8634,-99.8901,28.9,79,75,0.0,Acapulco de Juárez,1693374066
301,makurazaki,31.2667,130.3167,28.26,75,25,7.63,Makurazaki,1693374423
302,naxos,37.1056,25.3764,27.57,78,20,1.54,Naxos,1693374423
303,ketchikan,55.3422,-131.6461,16.99,88,100,2.57,Ketchikan,1693374028
304,victorica,-36.2151,-65.4359,11.94,44,78,6.5,Victorica,1693374424
305,pudasjarvi,65.3833,26.9167,13.63,87,95,3.11,Pudasjärvi,1693374424
306,vorkuta,67.5,64.0,10.02,72,100,1.11,Vorkuta,1693374039
307,haiku-pauwela,20.9219,-156.3051,25.02,73,40,8.23,Haiku-Pauwela,1693374089
308,lompoc,34.6391,-120.4579,16.08,86,0,4.12,Lompoc,1693374425
309,zuni pueblo,35.0725,-108.8506,16.35,34,1,6.19,Zuni Pueblo,1693374425
310,santa cruz,-17.8,-63.1667,24.7,69,75,0.0,Santa Cruz de la Sierra,1693374043
311,punta del este,-34.9667,-54.95,8.87,92,0,2.06,Punta del Este,1693374426
312,zunyi,27.6867,106.9072,25.2,60,95,0.99,Zunyi,1693374169
313,rocky mountain house,52.3668,-114.9188,13.06,82,4,0.0,Rocky Mountain House,1693374426
314,holualoa,19.6228,-155.9522,23.77,91,70,2.24,Holualoa,1693374153
315,kerikeri,-35.2268,173.9474,13.84,82,90,1.24,Kerikeri,1693374427
316,pyay,18.8167,95.2167,31.23,69,86,3.12,Prome,1693374427
317,karungdong,5.8844,121.263,29.45,70,100,3.47,Karungdong,1693374427
318,kapuskasing,49.4169,-82.4331,1.05,93,0,2.06,Kapuskasing,1693374026
319,nhlangano,-27.1167,31.2,13.18,57,0,1.42,Nhlangano,1693374428
320,ta`u,-14.2336,-169.5144,26.68,78,73,10.8,Ta`ū,1693374428
321,hami,42.8,93.45,32.13,14,100,4.98,Kumul,1693374429
322,al bardiyah,31.7561,25.0865,26.81,74,0,5.24,Al Bardīyah,1693374429
323,maryville,35.7565,-83.9705,23.42,96,100,0.45,Maryville,1693374429
324,les cayes,18.2,-73.75,28.04,86,58,3.45,Les Cayes,1693374330
325,tucupita,9.0622,-62.051,23.6,96,99,1.2,Tucupita,1693374430
326,berdsk,54.7551,83.0967,21.78,46,2,3.8,Berdsk,1693374378
327,usinsk,65.9939,57.5281,12.39,64,9,3.34,Usinsk,1693374015
328,taft,31.7471,54.2088,31.97,16,0,6.17,Taft,1693374431
